133,Schwab Value Advantage Money Fund,Money Market Fund,Sell,2021-01-19,-50000.0,50000.0,USD
138,Schwab Value Advantage Money Fund,Money Market Fund,Dividend (Of Cash),2021-01-15,0.0,3.73,USD
139,Cerner Corp,Stock,Dividend (Of Cash),2021-01-12,0.0,55.0,USD
140,Eastman Chemical Co,Stock,Dividend (Of Cash),2021-01-08,0.0,189.75,USD
141,Merck & Co. Inc.,Stock,Dividend (Of Cash),2021-01-08,0.0,130.0,USD
144,Mckesson Corp Exchange Offer,Stock,Dividend (Of Cash),2021-01-04,0.0,35.7,USD
145,WalMart Inc,Stock,Dividend (Of Cash),2021-01-04,0.0,116.1,USD
147,Schwab Value Advantage Money Fund,Money Market Fund,Distribution,2020-12-31,0.0,2.27,USD
148,Broadcom Inc,Stock,Dividend (Of Cash),2020-12-31,0.0,180.0,USD
149,JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,Buy,2020-12-31,8000.0,-408399.2,USD
150,Schwab Value Advantage Money Fund,Money Market Fund,Dividend (Of Cash),2020-12-31,0.0,11.92,USD
152,Nike Inc Class                  B,Stock,Dividend (Of Cash),2020-12-29,0.0,55.0,USD
154,Vanguard FTSE Developed Markets ETF,ETF,Dividend (Of Cash),2020-12-24,0.0,1119.69,USD
156,Bank Of America Corp,Stock,Dividend (Of Cash),2020-12-24,0.0,144.0,USD
157,SPDR S&P 600 Small Cap Value ETF,ETF,Dividend (Of Cash),2020-12-24,0.0,231.62,USD
158,BlackRock Inc,Stock,Dividend (Of Cash),2020-12-21,0.0,127.05,USD
159,iShares MSCI Emerging Markets ETF,ETF,Dividend (Of Cash),2020-12-18,0.0,700.51,USD
160,iShares MSCI EAFE Growth ETF,ETF,Dividend (Of Cash),2020-12-18,0.0,244.96,USD
161,Ishars Edg MSCI USA QLTY FCTR ETF,ETF,Dividend (Of Cash),2020-12-18,0.0,81.56,USD
162,iShares Core S&P Mid Cap ETF,ETF,Dividend (Of Cash),2020-12-18,0.0,164.91,USD
163,Home Depot Inc,Stock,Dividend (Of Cash),2020-12-17,0.0,165.0,USD
164,Prudential Finl,Stock,Dividend (Of Cash),2020-12-17,0.0,220.0,USD
170,Chevron Corp,Stock,Dividend (Of Cash),2020-12-10,0.0,212.85,USD
171,Marathon Pete Corp,Stock,Dividend (Of Cash),2020-12-10,0.0,188.5,USD
172,Emerson Electric Co,Stock,Dividend (Of Cash),2020-12-10,0.0,126.25,USD
173,Microsoft Corp,Stock,Dividend (Of Cash),2020-12-10,0.0,112.0,USD
174,Norfolk Southern Co,Stock,Dividend (Of Cash),2020-12-10,0.0,56.4,USD
175,Amgen Inc.,Stock,Dividend (Of Cash),2020-12-08,0.0,96.0,USD
176,Johnson & Johnson,Stock,Dividend (Of Cash),2020-12-08,0.0,151.5,USD
177,L3harris Technologies In,Stock,Dividend (Of Cash),2020-12-04,0.0,63.75,USD
178,Cummins Inc,Stock,Dividend (Of Cash),2020-12-03,0.0,101.25,USD
179,Discover Finl S,Stock,Dividend (Of Cash),2020-12-03,0.0,110.0,USD
180,United Parcel SRVC Class                  B,Stock,Dividend (Of Cash),2020-12-03,0.0,151.5,USD
181,Kroger Co,Stock,Dividend (Of Cash),2020-12-01,0.0,63.0,USD
182,Intel Corp,Stock,Dividend (Of Cash),2020-12-01,0.0,214.5,USD
183,Starbucks Corp,Stock,Dividend (Of Cash),2020-11-27,0.0,101.25,USD
184,Charles Schwab Corp,Stock,Dividend (Of Cash),2020-11-27,0.0,72.0,USD
188,Abbvie Inc,Stock,Dividend (Of Cash),2020-11-16,0.0,324.5,USD
189,Procter & Gamble,Stock,Dividend (Of Cash),2020-11-16,0.0,197.68,USD
190,Schwab Value Advantage Money Fund,Money Market Fund,Dividend (Of Cash),2020-11-16,0.0,2.72,USD
193,Apple Inc,Stock,Dividend (Of Cash),2020-11-12,0.0,92.25,USD
196,Mastercard Inc Class                  A,Stock,Dividend (Of Cash),2020-11-09,0.0,70.0,USD
197,Masco Corp,Stock,Dividend (Of Cash),2020-11-09,0.0,28.0,USD
198,iShares Core S&P Mid Cap ETF,ETF,Sell,2020-11-05,-50.0,10153.28,USD
199,iShares MSCI EAFE Growth ETF,ETF,Sell,2020-11-05,-80.0,7454.64,USD
200,Chevron Corp,Stock,Sell,2020-11-05,-35.0,2538.49,USD
201,Microsoft Corp,Stock,Sell,2020-11-05,-60.0,13365.0,USD
202,Procter & Gamble,Stock,Sell,2020-11-05,-30.0,4280.46,USD
203,Schwab Value Advantage Money Fund,Money Market Fund,Buy,2020-11-05,300000.0,-300000.0,USD
204,iShares MSCI Emerging Markets ETF,ETF,Sell,2020-11-05,-100.0,4758.39,USD
205,Abbvie Inc,Stock,Sell,2020-11-05,-70.0,6530.86,USD
206,Verizon Communicatn,Stock,Sell,2020-11-05,-200.0,11730.74,USD
207,Starbucks Corp,Stock,Sell,2020-11-05,-25.0,2257.45,USD
208,Mastercard Inc Class                  A,Stock,Sell,2020-11-05,-50.0,15772.15,USD
209,WalMart Inc,Stock,Sell,2020-11-05,-35.0,5013.64,USD
210,Apple Inc,Stock,Sell,2020-11-05,-75.0,8843.92,USD
211,Alibaba Group Holding  F Sponsored ADR,Stock,Sell,2020-11-05,-30.0,8662.31,USD
212,SPDR S&P 600 Small Cap Value ETF,ETF,Sell,2020-11-05,-200.0,10979.76,USD
213,Marathon Pete Corp,Stock,Sell,2020-11-05,-75.0,2399.2,USD
214,CIGNA Corp,Stock,Sell,2020-11-05,-5.0,1066.01,USD
215,Amgen Inc.,Stock,Sell,2020-11-05,-15.0,3461.1,USD
216,Johnson & Johnson,Stock,Sell,2020-11-05,-25.0,3498.55,USD
217,Eastman Chemical Co,Stock,Sell,2020-11-05,-15.0,1305.5,USD
218,Virginia State Res  5%22 **Partial**,Bond,Interest Income,2020-11-01,0.0,1125.0,USD
219,VA CMWLTH Univ      5%20 Pub Educ    Due 11/01/20,Bond,Interest Income,2020-11-01,0.0,2500.0,USD
220,J P Morgan Chase & Co,Stock,Dividend (Of Cash),2020-10-31,0.0,315.0,USD
221,VA CMWLTH Univ      5%20 Pub Educ    Due 11/01/20,Bond,Redemption,2020-11-01,-100.0,100000.0,USD
222,Verizon Communicatn,Stock,Dividend (Of Cash),2020-11-02,0.0,156.88,USD
223,Virginia State Res  5%22 Finl Auth   Due 11/01/22,Bond,Interest Income,2020-11-01,0.0,125.0,USD
225,Bank Of America Corp,Stock,Sell,2020-10-28,-100.0,2350.45,USD
226,Agilent Technologies,Stock,Dividend (Of Cash),2020-10-28,0.0,29.7,USD
227,Intel Corp,Stock,Sell,2020-10-28,-100.0,4458.379999999999,USD
228,Discover Finl S,Stock,Sell,2020-10-28,-50.0,3157.43,USD
229,Apple Inc,Stock,Sell,2020-10-28,-35.0,3943.71,USD
230,J P Morgan Chase & Co,Stock,Sell,2020-10-28,-65.0,6326.31,USD
231,Comcast Corp Class                  A,Stock,Dividend (Of Cash),2020-10-28,0.0,138.0,USD
232,Amgen Inc.,Stock,Sell,2020-10-28,-25.0,5462.63,USD
233,Adobe Inc,Stock,Sell,2020-10-28,-10.0,4608.9,USD
234,Facebook Inc Class                  A,Stock,Sell,2020-10-28,-15.0,4064.39,USD
235,Microsoft Corp,Stock,Sell,2020-10-28,-25.0,5137.27,USD
236,L3harris Technologies In,Stock,Sell,2020-10-28,-15.0,2455.98,USD
237,Norfolk Southern Co,Stock,Sell,2020-10-28,-15.0,2981.33,USD
238,Walt Disney Co,Stock,Sell,2020-10-28,-25.0,2978.18,USD
239,WalMart Inc,Stock,Sell,2020-10-28,-25.0,3529.55,USD
240,Starbucks Corp,Stock,Sell,2020-10-28,-50.0,4347.15,USD
241,Eastman Chemical Co,Stock,Sell,2020-10-28,-35.0,2804.67,USD
242,iShares MSCI EAFE Growth ETF,ETF,Sell,2020-10-28,-75.0,6539.87,USD
243,CIGNA Corp,Stock,Sell,2020-10-28,-50.0,8527.06,USD
244,Verizon Communicatn,Stock,Sell,2020-10-28,-50.0,2825.66,USD
245,Amgen Inc.,Stock,Sell,2020-10-26,-15.0,3349.28,USD
246,CIGNA Corp,Stock,Sell,2020-10-26,-15.0,2715.99,USD
247,Norfolk Southern Co,Stock,Sell,2020-10-26,-10.0,2101.95,USD
248,L3harris Technologies In,Stock,Sell,2020-10-26,-10.0,1702.11,USD
250,J P Morgan Chase & Co,Stock,Sell,2020-10-26,-35.0,3531.07,USD
251,Adobe Inc,Stock,Sell,2020-10-26,-10.0,4749.0,USD
252,Home Depot Inc,Stock,Sell,2020-10-26,-15.0,4126.49,USD
253,Procter & Gamble,Stock,Sell,2020-10-26,-25.0,3520.92,USD
254,WalMart Inc,Stock,Sell,2020-10-26,-25.0,3546.05,USD
255,Abbvie Inc,Stock,Sell,2020-10-26,-75.0,6276.61,USD
256,Kroger Co,Stock,Sell,2020-10-26,-50.0,1651.71,USD
257,Discover Finl S,Stock,Sell,2020-10-26,-40.0,2614.34,USD
258,Alphabet Inc. Class                  A,Stock,Sell,2020-10-26,-5.0,7888.03,USD
